0.52,0.59,0.48,0.43,1.86,1.40,2.00
0.47,0.47,0.45,0.48,1.17,1.39,1.00
0.60,0.62,0.52,0.60,1.45,1.14,5.00
0.40,0.50,0.27,0.32,1.23,0.87,2.00
0.21,0.32,0.31,0.44,1.32,1.03,3.00
0.50,0.50,0.39,0.48,0.90,0.84,2.00
0.67,0.45,0.60,0.52,2.88,1.27,2.00
0.41,0.45,0.41,0.45,1.09,1.00,4.00
0.59,0.54,0.65,0.75,1.90,1.40,1.00
0.46,0.46,0.59,0.56,1.95,0.50,4.00
0.68,0.63,0.68,0.45,2.63,2.10,4.00
0.54,0.46,0.71,0.63,0.90,1.10,5.00
0.63,0.66,0.61,0.56,1.75,0.95,1.00
0.57,0.62,0.61,0.56,2.05,0.86,1.00
0.31,0.40,0.48,0.50,1.04,1.00,1.00
0.43,0.36,0.50,0.54,1.12,1.81,1.00
0.38,0.53,0.48,0.57,1.33,1.15,3.00
0.62,0.45,0.49,0.58,2.62,1.11,1.00
0.53,0.53,0.51,0.59,1.41,1.00,2.00
0.41,0.50,0.34,0.52,2.00,1.00,2.00
0.48,0.48,0.50,0.52,1.35,1.59,2.00
0.47,0.45,0.44,0.51,1.43,1.00,2.00
0.30,0.40,0.33,0.48,1.70,1.37,2.00
0.56,0.60,0.56,0.56,1.44,0.96,4.00
0.60,0.58,0.50,0.60,1.62,1.00,2.00
0.71,0.71,0.60,0.58,2.58,1.54,3.00
0.62,0.74,0.44,0.44,1.50,1.12,4.00
0.68,0.68,0.49,0.58,2.12,1.42,3.00
0.68,0.64,0.68,0.66,1.46,2.23,3.00
0.70,0.66,0.72,0.64,2.08,1.04,3.00
0.64,0.64,0.43,0.57,1.35,1.04,2.00
0.60,0.60,0.68,0.66,1.85,1.77,4.00
0.72,0.64,0.62,0.74,1.30,1.26,2.00
0.60,0.60,0.64,0.64,1.85,1.33,2.00
0.70,0.64,0.68,0.66,2.04,2.23,4.00
0.60,0.58,0.68,0.68,1.07,1.74,2.00
0.44,0.44,0.58,0.60,0.88,1.59,3.00
0.49,0.58,0.51,0.62,1.11,1.15,1.00
